well_id,bin_id
15099239020000,g10_1
15099239040000,g10_1
15099239040000,g10_1
15099239210000,g10_1
15099239220000,g10_1
15099239220000,g10_1
15099239240000,g10_1
15099239240000,g10_1
15099239250000,g10_1
15099239250000,g10_1
15099239260000,g10_1
15099239260000,g10_1
15099239270000,g10_1
15099239270000,g10_1
15099239300000,g10_1
15099239300000,g10_1
15099239340000,g10_1
15099239340000,g10_1
15099239350000,g10_1
15099239350000,g10_1
15099239370000,g10_1
15099239370000,g10_1
15099239380000,g10_1
15099239380000,g10_1
15099239390000,g10_1
15099239390000,g10_1
15099239400000,g10_1
15099239400000,g10_1
15099239490000,g10_1
15099239490000,g10_1
15099239500000,g10_1
15099239500000,g10_1
15099239760000,g10_1
15099239760000,g10_1
15099239770000,g10_1
15099239830000,g10_1
15099239830000,g10_1
15099239850000,g10_1
15099239850000,g10_1
15099239860000,g10_1
15099239860000,g10_1
15099239870000,g10_1
15099239870000,g10_1
15099239900000,g10_1
15099239910000,g10_1
15099239950000,g10_1
15099239960000,g10_1
15099239970000,g10_1
15099240010000,g10_1
15099240020000,g10_1
15099240030000,g10_1
15099240050000,g10_1
15099240060000,g10_1
15099240080000,g10_1
15099240120000,g10_1
15099240170000,g10_1
15099240190000,g10_1
15099240200000,g10_1
15099240200000,g10_1
15099240220000,g10_1
15099240220000,g10_1
15099240230000,g10_1
15099240240000,g10_1
15099240260000,g10_1
15099240300000,g10_1
15099240320000,g10_1
15099240320000,g10_1
15099240340000,g10_1
15099240350000,g10_1
15099240420000,g10_1
15099240440000,g10_1
15099240450000,g10_1
15099240460000,g10_1
15099240470000,g10_1
15099240480000,g10_1
15099240540000,g10_1
15099240540000,g10_1
15099240580000,g10_1
15099240640000,g10_1
15099240650000,g10_1
15099240660000,g10_1
15099240670000,g10_1
15099240690000,g10_1
15099240710000,g10_1
15099240720000,g10_1
15099240740000,g10_1
15099240750000,g10_1
15099240750000,g10_1
15099240760000,g10_1
15099240760000,g10_1
15099240770000,g10_1
15099240770000,g10_1
15099240780000,g10_1
15099240800000,g10_1
15099240810000,g10_1
15099240810000,g10_1
15099240820000,g10_1
15099240860000,g10_1
15099240880000,g10_1
15099240910000,g10_1
15099240930000,g10_1
15099241090000,g10_1
15099241130000,g10_1
15099241160000,g10_1
15099241210000,g10_1
15099241240000,g10_1
15099241250000,g10_1
15099241270000,g10_1
15099241350000,g10_1
15099241360000,g10_1
15099241370000,g10_1
15099241380000,g10_1
15099241390000,g10_1
15099241400000,g10_1
15099241410000,g10_1
15099241420000,g10_1
15099241430000,g10_1
15099241440000,g10_1
15099241470000,g10_1
15099241480000,g10_1
15099241490000,g10_1
15099241500000,g10_1
15099241510000,g10_1
15099241530000,g10_1
15099241540000,g10_1
15099241540000,g10_1
15099241610000,g10_1
15099241620000,g10_1
15099241640000,g10_1
15099241650000,g10_1
15099241660000,g10_1
15099241680000,g10_1
15099241740000,g10_1
15099241750000,g10_1
15099241770000,g10_1
15099241780000,g10_1
15099241790000,g10_1
15099241800000,g10_1
15099241810000,g10_1
15099241860000,g10_1
15099241870000,g10_1
15099241880000,g10_1
15099241890000,g10_1
15099242030000,g10_1
15099242040000,g10_1
15099242070000,g10_1
15099242080000,g10_1
15099242100000,g10_1
15099242110000,g10_1
15099242190000,g10_1
15099242240000,g10_1
15099242250000,g10_1
15099242270000,g10_1
15099242280000,g10_1
15099242280000,g10_1
15099242320000,g10_1
15099242350000,g10_1
15099242350000,g10_1
15099242360000,g10_1
15099242360000,g10_1
15099242370000,g10_1
15099242370000,g10_1
15099242480000,g10_1
15099242480000,g10_1
15099242530000,g10_1
15099242530000,g10_1
15099242540000,g10_1
15099242590000,g10_1
15099242690000,g10_1
15099242700000,g10_1
15099242700000,g10_1
15099242710000,g10_1
15099242800000,g10_1
15099242810000,g10_1
15099242820000,g10_1
15099242830000,g10_1
15099242880000,g10_1
15099242890000,g10_1
15099242900000,g10_1
15099242900000,g10_1
15099242910000,g10_1
15099242920000,g10_1
15099242930000,g10_1
15099242950000,g10_1
15099242960000,g10_1
15099242970000,g10_1
15099243040000,g10_1
15099243040000,g10_1
15099243060000,g10_1
15099243090000,g10_1
15099243100000,g10_1
15099243100000,g10_1
15099243110000,g10_1
15099243120000,g10_1
15099243130000,g10_1
15099243150000,g10_1
15099243180000,g10_1
15099243190000,g10_1
15099243240000,g10_1
15099243240000,g10_1
15099243250000,g10_1
15099243260000,g10_1
15099243270000,g10_1
15099243270000,g10_1
15099243290000,g10_1
15099243300000,g10_1
15099243310000,g10_1
15099243320000,g10_1
15099243330000,g10_1
15099243340000,g10_1
15099243350000,g10_1
15099243350000,g10_1
15099243360000,g10_1
15099243380000,g10_1
15099243390000,g10_1
15099243400000,g10_1
15099243410000,g10_1
15099243490000,g10_1
15099243510000,g10_1
15099243520000,g10_1
15099243530000,g10_1
15099243530000,g10_1
15099243540000,g10_1
15099243550000,g10_1
15099243560000,g10_1
15099243570000,g10_1
15099243580000,g10_1
15099243590000,g10_1
15099243600000,g10_1
15099243600000,g10_1
15099243610000,g10_1
15099243610000,g10_1
15099243620000,g10_1
15099243630000,g10_1
15099243630000,g10_1
15099243640000,g10_1
