rep_id,cell_id,cell_tag,score,url,kgs_id,api,api_num_nodash,operator,lease,lat,lon,las_path,picked_gr,picked_por,picked_den,picked_neu,picked_pe,picked_dt
71,g10_2,,10.140,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055813060.las,1036146697,15-205-27014,15205270140000,"Quest Cherokee, LLC","ORENDORFF, HARRY L. 3-1",37.63725370,-95.74278310,data/las/1055813060.las,GR,,,,,
72,g10_2,,10.140,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055813065.las,1036179213,15-205-27022,15205270220000,"Quest Cherokee, LLC",ENOCH WIGGANS 2-17,37.61218010,-95.57627200,data/las/1055813065.las,GR,,,,,
73,g10_2,,10.140,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055814357.las,1037550907,15-205-27363,15205273630000,"Carroll Energy, LLC",BOYER 21-D2,37.50891030,-95.76433350,data/las/1055814357.las,GR,,,,,
74,g10_3,,20.230,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2020/1051325804.las,1047198616,15-031-24388,15031243880000,"Jones, Stephen C.",ANDERSON 2B,38.22761790,-95.94115370,data/las/1051325804.las,GR,DPOR,RHOB,CNPOR,,
75,g10_3,,20.170,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2012/1044070851.las,1043983948,15-031-23047,15031230470000,"Hodges, Dennis D. and/or Peggy D.",Hodges 5,38.24236970,-95.93859980,data/las/1044070851.las,GR,DPOR,RHOB,NPOR,,
76,g10_3,,19.080,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S14E/1044226412.las,1030386274,15-031-21990,15031219900000,"Osage Resources, LLC",Osage 5,38.15701700,-95.91871530,data/las/1044226412.las,GR,,RHOB,NPHI,PE,
77,g10_3,,17.070,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S18E/1044170349.las,1026657746,15-003-24217,15003242170000,Suncor Energy (Natural Gas) America Inc.,Colony 1-21-22-18,38.11295290,-95.44154310,data/las/1044170349.las,GR,,RHOB,NPHI,,DT
78,g10_3,,16.250,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1046075422.las,1044844741,15-031-23904,15031239040000,Sonoma Resources LLC,Trail 1,38.19110520,-95.62553260,data/las/1046075422.las,GR,,RHOB,,PE,DT
79,g10_3,,16.240,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1045628151.las,1044786650,15-031-23856,15031238560000,Grand Mesa Operating Co.,PLR 4-8,38.13689690,-95.57488990,data/las/1045628151.las,GR,,RHOB,,PE,DT
80,g10_3,,16.110,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2015/1045003063.las,1044581266,15-207-28623,15207286230000,Colt Energy Inc,"GLEUE, E & I (855) C3",38.02851020,-95.55715230,data/las/1045003063.las,GR,DPOR,RHOB,,,
81,g10_3,,16.070,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/22S14E/1044226414.las,1032644258,15-031-22098,15031220980000,Stephen C. Jones,Johnson 1,38.10422580,-95.90275990,data/las/1044226414.las,GR,,RHOB,NPHI,,
82,g10_3,,16.060,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/23S16E/1044226413.las,1030455643,15-031-22002,15031220020000,Colt Energy Inc,MURRAY 'WDW' 1,38.07251090,-95.61008450,data/las/1044226413.las,GR,,RHOB,NPHI,,
83,g10_3,,15.180,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1045663283.las,1044759444,15-031-23806,15031238060000,Grand Mesa Operating Company,Rolf 10-8,38.14622030,-95.62996520,data/las/1045663283.las,GR,,RHOB,,PE,
84,g10_3,,10.190,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055813777.las,1035943687,15-207-27053,15207270530000,Birk Petroleum,BOWERS 'NEW B' 1,38.01483450,-95.78126220,data/las/1055813777.las,GR,,,,,
85,g10_3,,10.160,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055812701.las,1028181084,15-207-21400,15207214000000,J. & D. W. EVANS,MERRITT 7,38.03516990,-95.85874360,data/las/1055812701.las,GR,,,,,
86,g10_3,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2025/1056364810.las,1044843711,15-031-23903,15031239030000,Birk Petroleum,Flake 11,38.07989610,-95.73394380,data/las/1056364810.las,GR,,,,,
87,g10_3,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1045386683.las,1044836285,15-003-26166,15003261660000,Colt Energy Inc,Kivett 23,38.04244000,-95.42939000,data/las/1045386683.las,GR,,,,,
88,g10_3,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055385982.las,1044053486,15-031-23149,15031231490000,Birk Petroleum,Demler 13,38.07010990,-95.80094260,data/las/1055385982.las,GR,,,,,
89,g10_4,,17.190,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044782687.las,1043452349,15-197-20288,15197202880000,"L.D. Drilling, Inc.",Andrew Wendland 2,38.95451670,-95.96636990,data/las/1044782687.las,GR,DPOR,RHOB,,,DT
90,g10_4,,17.180,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044773197.las,1044030737,15-197-20295,15197202950000,"L. D. Drilling, Inc.",Phillip Wendland 1,38.95270540,-95.96636990,data/las/1044773197.las,GR,DPOR,RHOB,,,DT
91,g10_4,,17.170,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2010/1043563094.las,1038700111,15-197-20275,15197202750000,"L.D. Drilling, Inc.",Dorothy Wendland 1,38.92557890,-95.96859260,data/las/1043563094.las,GR,DPOR,RHOB,,,DT
92,g10_4,,17.060,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/12S17E/1044077624.las,1002907035,15-045-20122,15045201220000,U.S. Geological Survey and Kansas Geological Survey,Douglas County Livestock and Fair Assoc. 1,39.01210870,-95.47899210,data/las/1044077624.las,GR,DPHI,,NPHI,,DT
