src_rep_id,dst_rep_id,dtw_cost,dtw_steps,dtw_cost_per_step,dtw_status,dtw_error,dist_km,source,sim
70,155,296.9082359586338,80,3.7113529494829223,OK,,35.758745708117864,quadrant,3.570422203293051e-07
71,72,271.7191371792424,80,3.39648921474053,OK,,14.927220260935508,quadrant,1.258038420817369e-06
71,73,278.64631080884294,80,3.4830788851105368,OK,,14.396978795617922,quadrant,8.897586947808809e-07
71,937,328.0959831687395,80,4.101199789609244,OK,,33.607033674175696,quadrant,7.507342829430326e-08
74,956,262.65485957666334,80,3.283185744708292,OK,,13.654440610760727,quadrant,1.979348161480713e-06
74,75,291.5252323576452,80,3.6440654044705654,OK,,1.6554246857857573,quadrant,4.6731531337178883e-07
74,76,279.8248556327716,80,3.497810695409645,OK,,8.091677804431038,quadrant,8.388425754481967e-07
74,88,285.25076016671653,80,3.565634502083957,OK,,21.379179266275095,quadrant,6.395263527978474e-07
74,958,286.82356506864016,80,3.5852945633580022,OK,,12.78080233803714,quadrant,5.911605173645593e-07
74,86,302.42675107714774,80,3.7803343884643468,OK,,24.455675690314727,quadrant,2.709483691776942e-07
75,958,293.0721516690704,80,3.6634018958633803,OK,,13.28690701443995,quadrant,4.3253283972651064e-07
75,952,310.83761035481325,80,3.8854701294351655,OK,,30.2150195887849,quadrant,1.7792912897909067e-07
75,97,314.5559383466811,80,3.931949229333514,OK,,43.940855273218425,quadrant,1.4774220836189272e-07
76,81,258.65550383255373,80,3.233193797906922,OK,,6.0337326826592825,quadrant,2.417503427996336e-06
76,88,278.5664170915076,80,3.482080213643845,OK,,14.12621004534464,quadrant,8.933201098951226e-07
76,956,277.6472072498173,80,3.4705900906227165,OK,,15.571059789799149,quadrant,9.353356739716831e-07
77,87,276.87631799232673,80,3.460953974904084,OK,,7.912519728954674,quadrant,9.720915014558657e-07
77,172,287.27660390197144,80,3.590957548774643,OK,,26.836066349291702,quadrant,5.779201104169857e-07
77,82,289.3737785142385,80,3.6171722314279813,OK,,15.419700644581994,quadrant,5.203891573687848e-07
77,167,288.2640915135885,80,3.603301143919856,OK,,31.474306361356906,quadrant,5.500786462946677e-07
77,171,288.59013716493865,80,3.6073767145617333,OK,,26.95721073288018,quadrant,5.411838088386213e-07
77,79,296.5341909619244,80,3.7066773870240555,OK,,11.964306569670306,quadrant,3.6378254630102515e-07
77,78,307.70968640579156,80,3.8463710800723945,OK,,18.285221315721678,quadrant,2.0805064105044866e-07
77,97,300.28338776466137,80,3.753542347058267,OK,,46.91429024369737,quadrant,3.015984354780479e-07
78,97,284.53549208950545,80,3.556693651118818,OK,,36.83972530527019,quadrant,6.628118953244768e-07
78,79,313.02659563344537,80,3.912832445418067,OK,,7.479040456374065,quadrant,1.5948279614923442e-07
78,83,316.49839122479847,80,3.956229890309981,OK,,5.006000400984768,quadrant,1.3406788494083444e-07
