rep_id,status,n_raw,n_finite_gr,z_min,z_max,z_fin_min,z_fin_max,n_samples,p_lo,p_hi,p_lo_val,p_hi_val,fill_nans,max_gap_depth,imputed_frac_rs
154,OK,883,799,8.5,449.5,9.0,408.0,400,1.0,99.0,49.69178947368424,318.74294736842177,True,,0.0975
155,OK,1757,1673,2.5,880.5,3.0,839.0,400,1.0,99.0,37.99146917293234,266.28369824561474,True,,0.05
156,OK,1735,1631,14.0,881.0,59.0,874.0,400,1.0,99.0,22.750896842105348,225.27642015037657,True,,0.0625
157,OK,1643,1631,59.0,880.0,59.0,874.0,400,1.0,99.0,18.8216118295741,253.774470676694,True,,0.0075
158,OK,801,776,0.0,400.0,7.0,394.5,400,1.0,99.0,31.988080300751868,135.67308075187933,True,,0.0325
159,OK,3365,1812,0.0,1682.0,10.5,919.0,400,1.0,99.0,32.09766992481228,154.96702932330874,True,,0.46
160,OK,5261,5172,30.0,2660.0,30.0,2633.0,400,1.0,99.0,-144.90269824561338,141.61443614034744,True,,0.0125
161,OK,4079,4077,149.0,2188.0,150.0,2188.0,400,1.0,99.0,10.838317699247929,212.23206278195488,True,,0.0025
162,OK,1797,1675,0.0,898.0,0.0,837.0,400,1.0,99.0,12.383161578947444,235.40595819548952,True,,0.07
163,OK,1933,1909,14.0,980.0,14.0,971.5,400,1.0,99.0,10.486528947368399,258.2173539473697,True,,0.01
164,OK,8439,8364,31.2,875.0,31.2,867.5,400,1.0,99.0,7.903558897242941,273.4428571428541,True,,0.01
165,OK,1671,1640,3.5,838.5,3.5,823.0,400,1.0,99.0,25.89081319298228,291.7806901578911,True,,0.02
166,OK,8345,8254,30.6,865.0,30.6,855.9,400,1.0,99.0,22.32666666666649,337.6039298245589,True,,0.0125
167,OK,17651,17518,-5.0,877.5,-5.0,870.85,400,1.0,99.0,27.276578759398355,241.5614300000004,True,,0.01
168,OK,6511,6363,13.0,338.2,13.0,331.1,400,1.0,99.0,29.674546691729304,326.9759973684236,True,,0.0225
169,OK,13571,13443,13.75,692.25,13.75,685.85,400,1.0,99.0,23.445529999999998,310.3273821177376,True,,0.01
170,OK,13556,13423,14.0,691.75,14.0,685.1,400,1.0,99.0,18.733151165413535,276.9216800000007,True,,0.01
171,OK,14926,14798,12.25,758.5,12.25,752.1,400,1.0,99.0,13.913342142857246,232.4313178571447,True,,0.01
172,OK,14091,13948,13.0,717.5,13.0,710.35,400,1.0,99.0,28.370926,200.36705000000015,True,,0.0125
173,OK,14126,13983,12.75,719.0,12.75,711.85,400,1.0,99.0,30.273486000000002,274.2984101052598,True,,0.0125
174,OK,6504,6358,13.0,337.9,13.0,330.85,400,1.0,99.0,27.592899999999712,372.8831100000003,True,,0.0225
175,OK,13591,13463,12.75,692.25,12.75,685.85,400,1.0,99.0,26.680400000000002,303.50196406014965,True,,0.01
176,OK,2001,1826,100.0,1100.0,149.5,1062.0,400,1.0,99.0,24.38981735288421,262.78126441391527,True,,0.09
177,OK,1452,1426,40.0,765.5,40.0,765.5,400,1.0,99.0,0.002633296296296298,395.5254705714407,True,,0.0
178,OK,589,479,502.5,796.5,505.5,744.5,400,1.0,99.0,56.591694736842264,395.40964210525516,True,,0.19
179,OK,589,479,502.5,796.5,505.5,744.5,400,1.0,99.0,56.591694736842264,395.40964210525516,True,,0.19
180,OK,4263,4151,47.0,2178.0,50.0,2125.0,400,1.0,99.0,18.227956892230836,193.15252731829668,True,,0.0275
181,OK,539,427,1909.0,2178.0,1912.0,2125.0,400,1.0,99.0,23.05525689222993,57.53221679197922,True,,0.21
182,OK,7118,6992,87.8,799.5,92.9,792.0,400,1.0,99.0,13.310954887217608,290.0883483709259,True,,0.02
183,OK,9640,9563,0.3,964.2,0.3,956.5,400,1.0,99.0,12.934473684210529,258.6692105263147,True,,0.01
184,OK,7212,7125,30.1,751.2,30.7,743.1,400,1.0,99.0,15.812340852130477,280.0167794486217,True,,0.015
185,OK,8524,8449,30.0,882.3,30.0,874.8,400,1.0,99.0,12.493233082706574,305.80590225564913,True,,0.01
186,OK,8515,8440,30.0,881.4,30.0,873.9,400,1.0,99.0,10.982142857142867,321.5133082706729,True,,0.01
187,OK,14426,14293,-6.25,715.0,-6.25,708.35,400,1.0,99.0,26.854009248120303,232.85525285718367,True,,0.01
188,OK,13444,13305,13.25,685.4,13.25,678.45,400,1.0,99.0,28.26513792481191,255.720502,True,,0.0125
189,OK,13709,13565,13.2,698.6,13.25,691.45,400,1.0,99.0,29.70030063157893,214.0585870000026,True,,0.015
190,OK,3025,2968,-3.0,1509.0,-3.0,1480.5,400,1.0,99.0,27.549653631579062,240.89454400000093,True,,0.02
191,OK,5449,5331,138.0,2862.0,146.0,2812.0,400,1.0,99.0,10.834358045112857,199.9190312029862,True,,0.025
192,OK,5301,5301,150.0,2800.0,150.0,2800.0,400,1.0,99.0,10.704204454355418,201.30473845688334,True,,0.0
193,OK,5301,5301,150.0,2800.0,150.0,2800.0,400,1.0,99.0,10.704204454355418,201.30473845688334,True,,0.0
194,OK,2956,2933,-2.0,1475.5,-2.0,1475.5,400,1.0,99.0,21.503750548871945,241.9543992857027,True,,0.0
195,OK,3030,2971,-4.0,1510.5,-4.0,1510.5,400,1.0,99.0,0.0,263.7944023984891,True,,0.0
196,OK,2800,2767,-4.0,1395.5,-4.0,1395.5,400,1.0,99.0,0.0,256.74879922556937,True,,0.0
197,OK,2800,2767,-4.0,1395.5,-4.0,1395.5,400,1.0,99.0,0.0,256.74879922556937,True,,0.0
198,OK,2830,2796,-4.0,1410.5,-4.0,1410.5,400,1.0,99.0,0.0,282.4572527518849,True,,0.0
199,OK,2830,2796,-4.0,1410.5,-4.0,1410.5,400,1.0,99.0,0.0,282.4572527518849,True,,0.0
200,OK,5943,5879,190.0,3161.0,190.0,3144.0,400,1.0,99.0,-7.423603408521318,182.94086255639382,True,,0.0075
201,OK,40068,39760,-5.75,1997.6,2.9,1990.85,400,1.0,99.0,15.58427,185.51603000000063,True,,0.01
202,OK,30561,30408,-5.25,1522.75,-5.25,1515.1,400,1.0,99.0,21.286668000000002,221.99790909771093,True,,0.005
203,OK,13018,13017,0.1,1301.8,0.1,1301.8,400,1.0,99.0,17.987421052631277,189.159939849624,True,,0.0
204,OK,4999,4911,0.0,2499.0,0.0,2455.0,400,1.0,99.0,16.2086284210525,246.06768184210475,True,,0.02
205,OK,922,834,2350.0,2810.5,2350.0,2766.5,400,1.0,99.0,7.479136541353206,52.147025263158255,True,,0.0975
206,OK,6261,6237,0.0,3130.0,0.0,3118.0,400,1.0,99.0,19.966163659147874,194.50014736841575,True,,0.005
207,OK,501,482,0.0,250.0,6.0,246.5,400,1.0,99.0,7.938676666666633,63.07021170426072,True,,0.04
208,OK,321,300,0.0,160.0,6.0,155.5,400,1.0,99.0,10.703399097744363,58.54422486215534,True,,0.0675
209,OK,309,296,0.0,154.0,6.5,154.0,400,1.0,99.0,18.645937192982455,61.187966315789446,True,,0.0425
210,OK,481,461,0.0,240.0,0.0,230.0,400,1.0,99.0,12.548367218045117,63.43147308270686,True,,0.0425
211,OK,481,461,0.0,240.0,0.0,230.0,400,1.0,99.0,12.548367218045117,63.43147308270686,True,,0.0425
212,OK,741,697,0.0,370.0,4.0,352.0,400,1.0,99.0,22.40341578947359,106.67918170426057,True,,0.0625
213,OK,741,697,0.0,370.0,4.0,352.0,400,1.0,99.0,22.40341578947359,106.67918170426057,True,,0.0625
214,OK,721,721,0.0,360.0,0.0,360.0,400,1.0,99.0,15.543454436090235,95.0415175939847,True,,0.0
215,OK,801,717,0.0,400.0,12.0,370.0,400,1.0,99.0,19.47978894736841,99.44750102756849,True,,0.105
216,OK,801,717,0.0,400.0,12.0,370.0,400,1.0,99.0,19.47978894736841,99.44750102756849,True,,0.105
217,OK,841,794,0.0,420.0,11.0,407.5,400,1.0,99.0,12.405705263157893,125.02379157894742,True,,0.0575
218,OK,841,794,0.0,420.0,11.0,407.5,400,1.0,99.0,12.405705263157893,125.02379157894742,True,,0.0575
219,OK,1201,1186,0.0,600.0,5.0,597.5,400,1.0,99.0,22.07364195488722,86.08530556390974,True,,0.015
220,OK,1201,1186,0.0,600.0,5.0,597.5,400,1.0,99.0,22.07364195488722,86.08530556390974,True,,0.015
221,OK,4450,4375,0.8,445.7,0.8,438.2,400,1.0,99.0,16.033984962405974,332.60977443608914,True,,0.0175
222,OK,4021,3944,30.0,432.0,30.0,424.3,400,1.0,99.0,17.233729323308463,299.278548872182,True,,0.02
223,OK,3522,3434,29.9,382.0,30.4,373.7,400,1.0,99.0,17.439368421052745,216.9889122807026,True,,0.0275
224,OK,2001,1628,0.0,1000.0,0.0,1000.0,400,1.0,99.0,0.71041949,275.3104961150163,True,,0.0
225,OK,3337,3259,30.0,363.6,30.0,355.8,400,1.0,99.0,1.4051954887217282,550.2501879699191,True,,0.025
226,OK,9556,9408,-6.5,471.25,-6.5,463.85,400,1.0,99.0,30.037498947368416,240.17374315789186,True,,0.0175
227,OK,9316,9168,-6.25,459.5,-6.25,452.1,400,1.0,99.0,27.640165413533882,280.8454105263169,True,,0.0175
228,OK,9076,8928,-9.0,444.75,-9.0,437.35,400,1.0,99.0,28.122700000000002,255.1532783759406,True,,0.0175
229,OK,8976,8828,-6.25,442.5,-6.25,435.1,400,1.0,99.0,31.011412,266.71059999999954,True,,0.0175
230,OK,8211,8078,-6.25,404.25,-6.25,397.6,400,1.0,99.0,25.768352,336.89375199999995,True,,0.0175
231,OK,9058,8955,-4.6,448.25,-4.35,443.35,400,1.0,99.0,29.183576000000002,258.2390989999999,True,,0.015
232,OK,8941,8793,-6.25,440.75,-6.25,433.35,400,1.0,99.0,29.4064,255.5742015037584,True,,0.0175
233,OK,8686,8538,-6.25,428.0,-6.25,420.6,400,1.0,99.0,25.875232,254.45419999999987,True,,0.0175
234,OK,9336,9188,-6.5,460.25,-6.5,452.85,400,1.0,99.0,28.857147538847087,269.9875532130329,True,,0.0175
235,OK,8621,8488,-6.5,424.5,-6.5,417.85,400,1.0,99.0,33.700275609022654,387.1759999999996,True,,0.0175
236,OK,9356,9208,-6.5,461.25,-6.5,453.85,400,1.0,99.0,31.410669804511365,262.88763192982435,True,,0.0175
237,OK,5643,5526,3400.0,6221.0,3400.0,6162.5,400,1.0,99.0,15.726863859648581,262.24203473684054,True,,0.0225
238,OK,5643,5526,3400.0,6221.0,3400.0,6162.5,400,1.0,99.0,15.726863859648581,262.24203473684054,True,,0.0225
239,OK,21867,21600,1640.0,7106.5,1640.0,7039.75,400,1.0,99.0,11.86485810526307,217.8530394937367,True,,0.0125
240,OK,9813,9711,2000.0,6906.0,2000.0,6855.0,400,1.0,99.0,21.700559889722637,239.60363935338418,True,,0.0125
241,OK,9154,8989,1616.75,6193.25,1632.75,6126.75,400,1.0,99.0,13.715071947368353,207.60950484962277,True,,0.02
242,OK,17703,17416,1757.5,6183.0,1770.5,6124.25,400,1.0,99.0,17.489492333333715,235.15525396994053,True,,0.02
243,OK,20077,19841,1690.0,6709.0,1690.0,6650.0,400,1.0,99.0,18.498911157894508,230.14431610526594,True,,0.0125
244,OK,9480,9349,1666.0,6405.5,1666.0,6340.0,400,1.0,99.0,14.276204328321011,224.38257940351474,True,,0.015
245,OK,19257,18999,1690.0,6504.0,1690.0,6439.5,400,1.0,99.0,16.305595027567897,232.22800906012208,True,,0.015
246,OK,9811,9691,1603.0,6508.0,1603.0,6448.0,400,1.0,99.0,11.241772646616788,183.6752517743559,True,,0.0125
247,OK,11999,11999,287.0,6286.0,287.0,6286.0,400,1.0,99.0,17.402987456140014,231.12508771927162,True,,0.0
248,OK,12592,12563,0.0,6295.5,0.0,6281.0,400,1.0,99.0,20.71037869473648,274.73913533836236,True,,0.0025
249,OK,9729,9611,1590.0,6454.0,1590.0,6395.0,400,1.0,99.0,17.856131142857016,196.84863809523057,True,,0.0125
250,OK,7096,7011,1510.0,5057.5,1510.0,5015.0,400,1.0,99.0,19.00786132330808,201.84051369924111,True,,0.0125
251,OK,6533,6533,2424.0,5690.0,2424.0,5690.0,400,1.0,99.0,17.059491704260648,235.4282686716857,True,,0.0
252,OK,8241,8124,1502.0,5622.0,1502.0,5563.5,400,1.0,99.0,12.5736262506268,145.69068462655252,True,,0.015
253,OK,11243,11156,0.0,5621.0,0.0,5577.5,400,1.0,99.0,17.969301842105367,159.44102447368826,True,,0.01
254,OK,11138,11051,0.0,5568.5,0.0,5525.0,400,1.0,99.0,11.892763333332843,133.25038947368347,True,,0.01
255,OK,10914,10837,0.0,5456.5,2.0,5420.0,400,1.0,99.0,19.999018596491098,151.5079681578958,True,,0.01
256,OK,11314,11236,0.0,5656.5,0.0,5617.5,400,1.0,99.0,16.59905446616309,155.8871714285739,True,,0.0075
257,OK,11422,11337,0.0,5710.5,0.0,5668.0,400,1.0,99.0,12.26176709774533,138.9287647819562,True,,0.0075
258,OK,11166,11081,0.0,5582.5,0.0,5540.0,400,1.0,99.0,17.304978157895096,139.36654175437536,True,,0.01
